"sub_category","region","discount","sales","profit","quantity"
"Chairs","East",0.1,1506.348,-29.2744,14
"Bookcases","West",0.15,5881.15,-328.703,50
"Accessories","Central",0.2,3368.4,-239.6935,116
"Fasteners","Central",0.2,39.96,-8.6613,13
"Phones","Central",0.2,643.576,-132.5407,17
"Storage","Central",0.2,11764.128,-2076.1838,212
"Supplies","Central",0.2,4304.664,-860.2812,42
"Accessories","East",0.2,3051.712,-291.6619,84
"Bookcases","East",0.2,11247.984,-466.2226,51
"Fasteners","East",0.2,40.736,-9.0354,25
"Furnishings","East",0.2,3910.248,-361.3574,51
"Storage","East",0.2,12412.752,-2248.7379,163
"Supplies","East",0.2,7005.392,-1561.7735,32
"Accessories","South",0.2,2217.2,-156.9968,47
"Bookcases","South",0.2,2598.352,-259.519,33
"Chairs","South",0.2,5672.032,-724.0697,56
"Furnishings","South",0.2,1090.592,-97.6571,23
"Phones","South",0.2,338.096,-77.0706,26
"Storage","South",0.2,7809.496,-1060.0824,98
"Supplies","South",0.2,1192.424,-248.9549,18
"Accessories","West",0.2,2321.488,-242.2743,83
"Chairs","West",0.2,21361.208,-2390.3805,243
"Fasteners","West",0.2,68.584,-15.4985,17
"Furnishings","West",0.2,1200.304,-87.2437,22
"Phones","West",0.2,2837.008,-605.2322,94
"Storage","West",0.2,5882.696,-1041.2997,96
"Supplies","West",0.2,1564.696,-344.6123,18
"Tables","West",0.2,16759.504,-1651.0245,119
"Bookcases","Central",0.3,4083.954,-555.8726,39
"Chairs","Central",0.3,38791.872,-4094.3445,358
"Machines","Central",0.3,1362.9,-19.47,3
"Tables","Central",0.3,14713.846,-2258.6106,111
"Chairs","East",0.3,24656.996,-2642.7722,205
"Tables","East",0.3,8730.806,-1206.618,57
"Bookcases","Central",0.32,14493.4588,-2391.1377,105
"Machines","Central",0.4,17556.774,-2884.65,33
"Phones","East",0.4,31979.16,-6715.78,339
"Tables","East",0.4,29718.318,-9839.7291,209
"Tables","South",0.4,15896.088,-6347.6677,83
"Tables","South",0.45,5484.974,-2493.1111,45
"Tables","Central",0.5,6550.67,-4309.7447,65
"Bookcases","East",0.5,7308.46,-4255.8117,76
"Machines","South",0.5,37935.07,-7635.2291,32
"Tables","West",0.5,7124.34,-4305.6426,68
"Furnishings","Central",0.6,6644.7,-5944.6552,501
"Binders","East",0.7,8183.145,-5971.6431,623
"Machines","East",0.7,11111.955,-13990.1903,59
"Binders","South",0.7,11400.861,-8404.4739,543
"Binders","West",0.7,2975.385,-2224.9814,337
"Bookcases","West",0.7,2459.382,-3894.9394,68
"Machines","West",0.7,4489.554,-5589.1288,30
"Appliances","Central",0.8,3382.534,-8629.6412,235
"Binders","Central",0.8,13581.222,-21909.398,953
