"sub_category","sales","profit","quantity","profit_margin"
"Tables",206965.532,-17725.4811,1241,-0.0856446043392385
"Bookcases",114879.9963,-3472.556,868,-0.0302276820320545
"Supplies",46673.538,-1189.0995,647,-0.0254769522721847
"Machines",189238.631,3384.7569,440,0.0178861836090962
"Chairs",328449.103,26590.1663,2356,0.0809567328914276
"Storage",223843.608,21278.8264,3158,0.0950611303584778
"Phones",330007.054,44515.7306,3289,0.134893269887498
"Furnishings",91705.164,13059.1436,3563,0.142403579366588
"Binders",203412.733,30221.7633,5974,0.148573606255022
"Appliances",107532.161,18138.0054,1729,0.168675168724639
"Art",27118.792,6527.787,3000,0.240710832547408
"Accessories",167380.318,41936.6357,2976,0.250546995017658
"Fasteners",3024.28,949.5182,914,0.313965042919306
"Copiers",149528.03,55617.8249,234,0.371955846004258
"Envelopes",16476.402,6964.1767,906,0.422675818422007
"Paper",78479.206,34053.5693,5178,0.433918371957025
"Labels",12486.312,5546.254,1400,0.444186722228309
